text,category
"fatal vehicle accident at hulaginal hiremagi road ghanamtteshwar dhwarbagila under section 304(A),279",Assault
"forgery of document and cheating at kelur village pkps bank under section 417,465,420,34,197",Fraud
"missing person report, a person went missing from aihole village complainent house",Missing Person
"fatal vehicle accident at aminagad sulebavi road near navachetan school under section 279,337,338,304(A), 196,181,3,146",Assault
"theft of property at aminagad near hadi basavanna temple under section 379, 21,4(1A),4(1)",Theft
road accident and injury at aihole village near govt.shcool under section 338,Assault
theft of cattle at gudur village complainent danad kottige under section 379,Theft
"fatal vehicle accident at aminagad bagalkot sh-20 road ramathal brigde on under section 338,279, 187",Assault
murder of a person at maradibhudihal village deceased house under section 302,Assault
"molestation and physical attack of woman at ramathal village accused house under section 323,34,506,354(B)",Harassment
"pocso case, kidnapping and sexual harassment of minor child at aminagada town complainant near by house under section 366,376(2)(n), 4,6,10, 376(2)(I),366(A),363,376(2)",Harassment
"assault at ramatahal village in complainant house under section 323,452,149,147,143,504,506,354(B)",Assault
"fatal vehicle accident at amd hnd sh 20 road near sangameshwar granite facto under section 304(A),337,279,338",Assault
"theft of property at gudur hanamanal road nilugal cross under section 379, 21,4(1A),4(1)",Theft
"theft of property at muganur hanuman temple under section 379,511",Theft
"theft of property at ramathal forest nursury on the road ihole to ramat under section 379, 21,4(1A),4(1)",Theft
"assault at mullur village complainant house near under section 324,323,149,147,143,504",Assault
"assault at mullur village complainant land near under section 324,323,149,147,143,504",Assault
"fatal vehicle accident at kamatagi guledagudda road near makandar land under section 304(A),279",Assault
"fatal vehicle accident at hunagund aminagad sh-20 road near rakkasagi villag under section 279,283,337,338",Assault
"theft of property at kelur village siddanakolla math crass near under section 379, 21,4(1A),4(1)",Theft
"cruelty, verbal abuse and domestic harassment by husband at gudur village complainant house under section 506(2),504,498A",Harassment
"pocso case, kidnapping and sexual harassment of minor child at tallikeri village complainant house under section 8, 354(A),511,376,354",Harassment
theft of two wheeler vehicle at aminagadbus stand near insapecton benlow under section 379,Theft
"kidnapping and abduction of a person, a person went missing from gudur village mohansa patil petrole pump under section 366",Missing Person
theft of property at aminagad pattan pachayati near idea taver under section 379,Theft
"missing person report, a person went missing from vadageri village victem house",Missing Person
fatal vehicle accident at aminagad bagalkot sh-20 road near doddannavar mine under section 279,Assault
fatal vehicle accident at amd bgk sh 20 road near taz mahal hotel under section 279,Assault
"physical assault causing injury at nimbalagund complainant land under section 324,323,504,506",Assault
"missing person report, a person went missing from muganur village victem house",Missing Person
"assault at gudur bustand under section 149,143,341,353,283",Assault
"fatal vehicle accident at amingad bagalkot sh-20 road near tippanna gouda under section 338,337,279,429, 187",Assault
